"タイトル","説明","品物番号","定価","note","isCombo",
"クリーンルーム向け・工場、倉庫用（特殊環境用）　天井直付型　40形　一体型LEDベースライト　Dスタイル／富士型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：150 mm　<br/>長：1250 mm　<br/>高：53 mm<br/>質量：2.2 kg<br/>器具光束：5100 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：193.9 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）調光はできません。<br/>注）間接照射殺菌灯と併用する場合は、殺菌灯にて指定された距離以上離して設置してください。樹脂製ライトバーカバー劣化の原因となります。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br/>注）制御用穴にパッキンはありません。調光される場合は別途お問い合わせください。","XFX455AHN LE9","104500","","",
"クリーンルーム向け・工場、倉庫用（特殊環境用）　天井直付型　40形　一体型LEDベースライト　Dスタイル／富士型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：150 mm　<br/>長：1250 mm　<br/>高：50 mm<br/>質量：2.2 kg<br/>器具光束：5100 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：193.9 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）調光はできません。<br/>注）間接照射殺菌灯と併用する場合は、殺菌灯にて指定された距離以上離して設置してください。樹脂製ライトバーカバー劣化の原因となります。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br/>注）制御用穴にパッキンはありません。調光される場合は別途お問い合わせください。","XFX456AHN LE9","61000","","",
"クリーンルーム向け・工場、倉庫用（特殊環境用）　天井直付型　40形　一体型LEDベースライト　Dスタイル／富士型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：230 mm　<br/>長：1250 mm　<br/>高：53 mm<br/>質量：2.4 kg<br/>器具光束：5100 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：193.9 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）調光はできません。<br/>注）間接照射殺菌灯と併用する場合は、殺菌灯にて指定された距離以上離して設置してください。樹脂製ライトバーカバー劣化の原因となります。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br/>注）制御用穴にパッキンはありません。調光される場合は別途お問い合わせください。","XFX455DHN LE9","105800","","",
"クリーンルーム向け・工場、倉庫用（特殊環境用）　天井直付型　40形　一体型LEDベースライト　Dスタイル／富士型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：230 mm　<br/>長：1250 mm　<br/>高：50 mm<br/>質量：2.4 kg<br/>器具光束：5100 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：193.9 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）調光はできません。<br/>注）間接照射殺菌灯と併用する場合は、殺菌灯にて指定された距離以上離して設置してください。樹脂製ライトバーカバー劣化の原因となります。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br/>注）制御用穴にパッキンはありません。調光される場合は別途お問い合わせください。","XFX456DHN LE9","62300","","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>デジタル調光タイプ・一般タイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>注）適合調光器（別売）をご使用ください。<br/>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4500HN DZ9","40200","受注品","1",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>デジタル調光タイプ・一般タイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>注）適合調光器（別売）をご使用ください。<br/>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4500HN DZ9","39050","受注品","1",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>デジタル調光タイプ・一般タイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>注）適合調光器（別売）をご使用ください。<br/>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4500HN DZ9","39050","受注品","1",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>デジタル調光タイプ・一般タイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>注）適合調光器（別売）をご使用ください。<br/>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4500HN DZ9","40500","受注品","1",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>デジタル調光タイプ・一般タイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>注）適合調光器（別売）をご使用ください。<br/>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4500HN DZ9","39250","受注品","1",
"天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　反射笠付型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：150 mm　<br/>長：1225 mm　<br/>高：60 mm<br/>質量：2.1 kg<br/>器具光束：5000 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：190.1 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>【適合ガード（別売）】FK41534<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>600ピッチ、800ピッチのボルトに対応します。<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）適合調光器（別売）をご使用ください。<br/>注）調光機能をご使用の場合（信号線を引き込む場合）、吊具は使用できません。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX450KHN LA9","36600","","",
"天井直付型　40形　一体型LEDベースライト　反射笠付型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：150 mm　<br/>長：1225 mm　<br/>高：60 mm<br/>質量：2.1 kg<br/>器具光束：5000 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：190.1 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>【適合ガード（別売）】FK41534<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）調光はできません。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX450KHN LE9","33600","","",
"リニューアル用　天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　反射笠付型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：150 mm　<br/>長：1225 mm　<br/>高：80 mm<br/>質量：2.2 kg<br/>器具光束：5000 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：190.1 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>【適合ガード（別売）】FK41534<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>600ピッチ、800ピッチのボルトに対応します。<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）適合調光器（別売）をご使用ください。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX459KHN LA9","37700","","",
"リニューアル用　天井直付型　40形　一体型LEDベースライト　反射笠付型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：150 mm　<br/>長：1225 mm　<br/>高：80 mm<br/>質量：2.2 kg<br/>器具光束：5000 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：190.1 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>【適合ガード（別売）】FK41534<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）調光はできません。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX459KHN LE9","34700","","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>デジタル調光タイプ・一般タイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>注）適合調光器（別売）をご使用ください。<br/>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4500HN DZ9","40700","受注品","1",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>デジタル調光タイプ・一般タイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>注）適合調光器（別売）をご使用ください。<br/>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4500HN DZ9","39600","受注品","1",
